Photo-ID,Clam-ID,Cassette-ID,Site,Date,Width (cm),Height (cm),Notes,
18,15,15,Blyn tidelands,4/10/2020,6.287,4.011,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
19,16,16,Blyn tidelands,4/10/2020,3.301,2.695,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
20,17,17,Blyn tidelands,4/10/2020,5.66,5.273,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
21,18,18,Blyn tidelands,4/10/2020,5.453,4.904,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
22,19,19,Blyn tidelands,4/10/2020,4.622,4.104,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",not 20 - 1 was dead
23,NA,NA,NA,NA,NA,NA,experimental set up ,
24,NA,NA,NA,NA,NA,NA,note paper,
25,40,40,Blyn tidelands,5/11/2020,4.803,4.836,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
26,41,41,Blyn tidelands,5/11/2020,5.145,5.191,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
27,42,42,Blyn tidelands,5/11/2020,4.757,4.428,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
28,43,43,Blyn tidelands,5/11/2020,5.145,4.789,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
29,44,44,Blyn tidelands,5/11/2020,5.338,4.245,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
30,45,45,Blyn tidelands,5/11/2020,5.48,4.485,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
31,46,46,Blyn tidelands,5/11/2020,4.595,4.133,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
32,47,47,Blyn tidelands,5/11/2020,5.134,5.038,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
33,48,48,Blyn tidelands,5/11/2020,5.19,4.952,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
34,49,49,Blyn tidelands,5/11/2020,5.668,5.517,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
35,50,50,Blyn tidelands,5/11/2020,5.325,4.906,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
36,51,51,Blyn tidelands,5/11/2020,4.906,4.92,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
37,52,52,Blyn tidelands,5/11/2020,4.095,3.869,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
38,NA,NA,NA,NA,NA,NA,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
39,53,53,Blyn tidelands,5/11/2020,3.95,3.39,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
40,54,54,Blyn tidelands,5/11/2020,4.795,4.451,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
41,55,55,Blyn tidelands,5/11/2020,,,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
42,56,56,Blyn tidelands,5/11/2020,,,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
43,57,57,Blyn tidelands,5/11/2020,,,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
44,58,58,Blyn tidelands,5/11/2020,,,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
45,NA,NA,NA,NA,NA,NA,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
46,59,59,Blyn tidelands,5/11/2020,,,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk,
47,NA,NA,Blyn tidelands,,,,,
48,60,60,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
49,61,60,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
50,62,60,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
51,63,60,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
52,65,64,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
53,66,64,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
54,67,64,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
55,68,68,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
56,NA,NA,NA,NA,,,was only able to sample 18 for the 7/6/2020 date,
57,69,68,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
58,70,68,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
59,71,68,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
60,72,72,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
61,73,72,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
62,74,72,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
63,75,72,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
64,76,76,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
65,77,76,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
66,78,76,Blyn tidelands,7/6/2020,,,was only able to sample 18 for the 7/6/2020 date,
67,NA,NA,Suquamish farm,7/8/2020,,,,
68,80,80,Suquamish farm,7/8/2020,,,,
69,81,81,Suquamish farm,7/8/2020,,,,
70,82,82,Suquamish farm,7/8/2020,,,,
71,83,83,Suquamish farm,7/8/2020,,,,
72,84,84,Suquamish farm,7/8/2020,,,,
73,85,85,Suquamish farm,7/8/2020,,,,
74,86,86,Suquamish farm,7/8/2020,,,,
75,87,87,Suquamish farm,7/8/2020,,,,
76,88,88,Suquamish farm,7/8/2020,,,,
77,89,89,Suquamish farm,7/8/2020,,,,
78,90,90,Suquamish farm,7/8/2020,,,,
79,91,91,Suquamish farm,7/8/2020,,,,
80,92,92,Suquamish farm,7/8/2020,,,,
81,93,93,Suquamish farm,7/8/2020,,,,
82,94,94,Suquamish farm,7/8/2020,,,,
83,95,95,Suquamish farm,7/8/2020,,,,
